id,name,kind,rarity,tier,design
common_shard,Common Shard,shard,1,1,"A jagged sliver of pale grey crystal, roughly leaf-shaped with a fractured base, floating upright so light catches its inner planes. Its surface is matte and cloudy like frosted glass, with dim white motes drifting inside and one chipped edge. Cool neutral palette of ash grey, bone white and faint silver. It hovers above a soft dark stone backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents"
uncommon_shard,Uncommon Shard,shard,2,2,"A faceted shard of vibrant jade-green crystal, tapered like a shard of bottle glass with a broken tip, hovering point-down. Veins of brighter emerald pulse beneath a polished cloudy surface, and mossy flecks cling to its base. Fresh greens with a hint of yellow at the core. It floats over a dark earthen backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents"
rare_shard,Rare Shard,shard,3,3,"A keen shard of deep sapphire-blue crystal, cut like a splinter of ice with a razor tip, suspended point-down. Its clear facet hides an inner glow of cobalt currents and a scatter of tiny white sparks, while condensation beads along the edges. Azure, cyan and deep navy palette. It floats over a dark cool-stone backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents"
epic_shard,Epic Shard,shard,4,4,"A slender shard of vivid amethyst crystal, its two long faces meeting at a sharp point, hovering tip-down. Deep violet light pulses in a vein down its centre and minute runes glimmer near the fracture at its base. Rich purple, magenta and indigo palette with a cold white highlight. It floats over a dark arcane backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents"
mythic_shard,Mythic Shard,shard,5,5,"A slender shard of radiant golden crystal, its faces catching light like cut topaz, hovering point-down so the glow spills from its base. A molten amber heart flickers at its centre and fine gold filaments run along every edge. Brilliant gold, amber and warm white palette. It floats over a dark vault backdrop with motes of light rising. game item icon, centered composition, soft rim lighting, rich saturated color with accents"
lesser_physical_core,Lesser Physical Core,core,1,1,"A small, roughly cut crystal heart in dull gunmetal grey, its facets chipped and unpolished, veins of pale iron running through a cloudy core. It rests point-down, heavy and inert, with a faint metallic sheen the only life in it. Neutral steel, ash and slate palette. It sits on a dark stone backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents"
greater_physical_core,Greater Physical Core,core,2,2,"A chunky faceted crystal heart in polished steel grey, its edges now clean and its inner iron veins glowing a soft cold white. Iron filings drift around it like dust in a magnetic field. Cool gunmetal, silver and charcoal palette. It balances point-down over a dark stone backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents"
mythic_physical_core,Mythic Physical Core,core,3,3,"A large ornate crystal heart of layered steel and smoky quartz, bands of engraved metal clasping its waist and pale runes faintly lit inside. Cold white light leaks through hairline fractures. Steel grey, platinum and deep charcoal palette. It hangs point-down over a dark forged backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents"
legendary_physical_core,Legendary Physical Core,core,4,4,"A monumental crystal heart of blackened steel and clear quartz, wrapped in intricate clockwork filigree, its core blazing with steady white fire. Chained iron inlays spiral across mirror-polished facets. Platinum, gunmetal and brilliant white palette. It floats point-down over a dark anvil backdrop with sparks rising. game item icon, centered composition, soft rim lighting, rich saturated color with accents"
lesser_fire_core,Lesser Fire Core,core,1,1,"A small rough crystal heart in dull ember orange, its cracked facets holding cooling lava like a dying coal. Thin smoke curls from its seams and warm ash dusts its base. Deep ember, rust and charcoal palette. It rests point-down on a dark hearth-stone backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents"
greater_fire_core,Greater Fire Core,core,2,2,"A chunky faceted crystal heart of glowing magma, polished faces over a molten core that shifts from orange to yellow. Sparks drift from hairline cracks and a faint heat shimmer bends the air around it. Molten orange, scorched black and gold palette. It hovers point-down over a dark volcanic backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents"
mythic_fire_core,Mythic Fire Core,core,3,3,"A large ornate crystal heart of obsidian wrapped in brass clasps, its molten core bright with whorled fire runes. Smoke and cinders rise through engraved channels along its facets. Crimson, brass and charcoal palette. It hangs point-down over a dark forge backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents"
legendary_fire_core,Legendary Fire Core,core,4,4,"A monumental crystal heart of black volcanic glass and white-hot magma, encircled by a crown of intricate brass and burning runes. Its core is a blinding furnace shedding embers and ribbons of flame. Brilliant gold, blood red and deep black palette. It floats point-down over a dark caldera backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents"
lesser_water_core,Lesser Water Core,core,1,1,"A small rough crystal heart of murky sea-blue, its cloudy facets holding a slow swirling current and a single trapped bubble. Foam-flecked and faintly wet, it drips one clear drop from its tip. Deep teal, seafoam and slate palette. It rests point-down on a dark wet-stone backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents"
greater_water_core,Greater Water Core,core,2,2,"A chunky faceted crystal heart of clear ocean blue, polished faces over a core where currents spiral and small whitecaps break. Water beads across its surface and mist collects at its tip. Azure, cyan and deep navy palette. It hovers point-down over a dark tide-pool backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents"
mythic_water_core,Mythic Water Core,core,3,3,"A large ornate crystal heart of abyssal blue ringed by silver wave filigree, its core a slow luminous whirlpool with drifting bubbles. Sea spray hangs frozen around it. Sapphire, pearl and midnight palette. It hangs point-down over a dark ocean backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents"
