id,type,name,design,rank,role,base_atk,base_def,passive_name,passive_text,lore,tags,kind,rarity,tier
cinder-squirrel-of-fire,card,Emberhoard Squirrel,"A small red squirrel in a scorched hollow, its cheeks glowing like embers as it hoards acorns that smolder, painted in warm autumnal concept art.",,,,,,,"Born in a hollow the first wildfire never quite finished eating, it learned to hoard what fire leaves behind. Its cheeks glow with borrowed embers, and the acorns it buries smolder for years before they split. Treasure-hunters who follow the faint smell of smoke find only their own scorched footprints leading back.",fire,,,
dark-chicken-of-the-ruins,card,Ruincrest Chicken,"A gaunt shadow chicken with a hunched silhouette, ragged tail feathers trailing like torn cloth, a thin hooked beak and a jagged comb. Feathers read as matte smoke and soot, edges fraying into wisps, eyes glowing faint ember. It leans forward mid-step, wings half-spread, expression wary and sly. Palette of charcoal grey, bruised purple, and dim amber glow against a broken stone ruin at dusk. cartoonish, dramatic rim lighting, rich saturated color with accents",1,,9,62,,,"No one remembers which empire it once belonged to, only that it refuses to leave the rubble. It scratches through ash for seed and memory alike, its ragged comb lit by the last ember of a dead hearth. To hear it crow at dusk is said to be an omen that the ruins are about to remember your name.",dark,,,
dark-deer-of-the-tundra,card,Gloamstag of the Tundra,"A tall slender deer with long branching antlers trailing wisps of smoke, its lean silhouette sharpened by thin legs and a ragged mane. Matte charcoal hide, curling shadow-smoke instead of fur along the spine, hooves like polished jet. It strides forward, head tilted, hollow glowing eyes calm and unreadable. Ink black, bruised violet and cold blue haze. It crosses a wind-scoured snow plain under a dim moon. cartoonish, dramatic rim lighting, rich saturated color with accents",1,,39,72,,,"It walks the white emptiness where the sun is a rumor and the moon is a landlord. Its antlers shed not velvet but smoke, writing brief dark runes against the snow that vanish before they can be read. Travelers who glimpse it swear it was waiting for them, and that it already knew the way home.",dark,,,
dark-cat-of-the-crypts,card,Cryptshade Cat,"A compact crouching cat with oversized ears, a bottle-brush tail and shoulders hunched into a rounded silhouette. Its short fur is soot-dark and dusty, ribbed with faint smoky stripes that bleed off the edges into curling vapour. It freezes mid-prowl, pupils wide and wary, one paw lifted. Plum shadow, warm ember-grey and dim candle amber. It slinks between toppled stone coffins in a dusty vault. cartoonish, dramatic rim lighting, rich saturated color with accents",1,,33,46,,,"It was interred with a noble house and simply never agreed to leave. By day it is a smudge of soot between the coffins; by night it is the reason the candles gutter. It keeps the vault tidy, chasing out mice and lesser ghosts alike, and has never once knocked over an urn it did not mean to.",dark,,,
dark-and-fire-tiger-of-the-forest,card,Cinderstalk Tiger,"A massive forest tiger with a broad heavy frame, short powerful legs and a blunt square head, its striped coat of charcoal shadow-smoke smoldering with molten ember seams that glow through the fur. It pads forward low and deliberate, shoulders rolling, head tilted with a slow predatory smirk. Palette of soot black, deep crimson and glowing orange with faint purple smoke haze. Setting: a charred woodland clearing where embers drift between blackened trunks. cartoonish digital illustration, dramatic rim lighting, rich saturated color with accents",1,,69,45,,,"When the old forest burned, one tiger refused to run and the fire made a home in it instead. Its stripes are seams of molten ember that breathe with every low growl. It pads through the blackened trunks at dusk, and the charred woods lean in to listen when it passes.",dark;fire,,,
cat-of-grass,card,Thornwhisker Prowler,"A sleek cat of grass, silhouette defined by a long arcing tail ending in a feathered seed-head and tall ears sprouting reed blades. Fur is fine turf-like grass with visible individual blades, paw pads like soft clover, eyes glowing pale green. Crouched low in a playful hunter's stalk, one paw raised, whiskers of bent grass, tail curled high with a sly, mischievous grin. Fresh spring green shading into yellow-green highlights, dandelion fluff drifting. Setting: a wildflower meadow with tall swaying grass. cartoonish digital illustration, dramatic rim lighting, rich saturated color with accents",1,,84,100,,,"It is not made of grass so much as grown from it; every blade on its coat leans toward the light it is hunting. In spring its tail opens into a seed-head and the meadow quietly reseeds itself wherever it walks. Farmers leave it a saucer of milk and a wide berth. It has never been caught, only thanked.",grass,,,
mouse-of-electric,card,Voltwhisker Mouse,"A small but mighty mouse of electric charge, silhouette compact with huge round ears like lightning rods and a long tail that forks into sparking filaments. Fur is a bristling static fuzz, whiskers are fine arcing wires, paws tipped with tiny glowing claws, body traced by crackling arc-light. It stands on hind legs, back arched, cheeks puffed mid-shout, sparks leaping between its ears. Bright electric yellow and white-hot arcs against deep violet shadows. Setting: a storm-dark plain humming with charge. cartoonish digital illustration, dramatic rim lighting, rich saturated color with accents",1,,77,41,,,"Lightning struck a granary, and something small and defiant inside decided to keep the charge. Now it stands on its hind legs in the middle of storms, cheeks puffed, daring the thunder to try again. The arcs between its ears can light a lantern, or stop a larger predator's heart, whichever comes first.",electric,,,
beaver-of-electric,card,Stormtooth Beaver,"A stocky beaver with a broad flat tail that splits into crackling lightning-shaped ridges, its fur a bristling storm-grey shot through with white-hot filaments, incisors glowing like charged copper. Static arcs leap between its buck teeth and the tips of its twitching ears, and its flattened tail hums with blue-white current. It stands braced on a half-chewed log, nervous and jittery, sparks popping from its paws. Palette of storm violet, electric blue and burnt copper. Setting: a flooded timber marsh under a gathering thunderhead. cartoonish digital illustration, dramatic rim lighting, rich saturated color with accents",1,,33,34,,,"It dammed a river with felled trees and, one summer, with a thunderhead that got too close. Now its buck teeth glow like charged copper and its flat tail hums with current. The marsh around its lodge is permanently bright with blue-white sparks, and the fish have learned to swim around it.",electric,,,
lion-of-electric-and-dark,card,Nightstorm Lion,"A colossal lion whose mane erupts into a crown of branching lightning, each strand fraying into curls of black smoke at the tips, so the silhouette reads as a great solar flare around a heavy feline body. Its hide is plated in storm-cloud velvet and scorched obsidian, chipped along the shoulders, with arcs of blue-white charge crawling between the plates and tiny embers of soot drifting from its paws. It stands mid-roar, one forepaw raised, jaw wide, eyes glowing like split filaments, tail lashing a thin whip of current. Deep indigo and charcoal dominate, cut by jagged violet-white arcs and the dull orange of dying embers. It prowls a shattered night plateau beneath a sky torn by silent lightning. cartoonish digital illustration, dramatic rim lighting, rich saturated color with accents",1,,95,31,,,"Its mane is a standing storm that never breaks, black smoke curling from the tip of every bolt. It was born in the seam between a thundercloud and a moonless night, and it belongs to neither. When it roars, the sky answers with silent lightning and the plateau holds its breath.",electric;dark,,,
badger-of-ice-and-electric,card,Frostarc Badger,"A stocky badger with a broad wedge-shaped head and a low, powerful silhouette, its back bristling with jagged ice prisms that crackle with forked arcs of blue-white electricity leaping between the shards. Its fur is coarse frost-rimed guard hair over dense underfur, the claws translucent like frozen crystal, while thin veins of glowing charge run beneath the skin of its shoulders and snout, and its breath puffs as glittering frost. It stands braced and snarling, shoulders hunched, jaws parted to show icicle teeth, eyes narrowed and defiantly bright. Colour story: glacier cyan and deep indigo pricked with hot violet arc-light and pale foam-white highlights. Setting: a frozen riverbank at dusk, shattered ice plates glowing faintly underfoot. cartoonish digital illustration, dramatic rim lighting, rich saturated color with accents",1,,28,15,,,"It dens in the glacier where the ice is thinnest, so the charge beneath the world can reach it. Jagged prisms bristle down its back, and arcs leap between the shards whenever it snarls. It has dug through frozen rivers for a living and regards the thaw as a personal insult.",ice;electric,,,
deer-of-grass-and-dark,card,Mossgloom Stag,"A tall slender stag whose antlers unfurl into branching green stalks tipped with seed heads, its elegant silhouette half-swallowed by curling shadow. Its hide is velvet moss and bark texture, spotted with luminous pollen that drifts from its flanks, while the shadow pooling around its legs is dense ink-black smoke threaded with glowing spores. It steps forward with regal calm, head lifted, one foreleg raised delicately, eyes serene and knowing, a faint green light burning in them. Colour story: deep forest emerald and sunlit chartreuse against bruised violet-black shadow. Setting: a moonlit meadow edge where tall grass fades into a wall of dark trees. cartoonish digital illustration, dramatic rim lighting, rich saturated color with accents",1,,91,23,,,"Its antlers flower with seed-heads that never fall, even as the shadow around its hooves drinks the light. It walks the border where meadow becomes forest, and both bow as it passes. Poachers who follow its pollen trail come back years later, gently, with no memory of hunting at all.",grass;dark,,,
rabbit-of-fire,card,Emberleap Hare,"A small hare with an exaggerated lean silhouette, long ears streaming backward into ribbons of flame, hind legs coiled and oversized with heat-shimmer blurring their edges. Its fur is singed velvet streaked with soot, ear-tips and paws glowing like coals, whiskers thin filaments of ember, tufts of ash drifting from its tail. It is caught mid-leap, body stretched, ears flattened flat and eyes wide with wild glee, a tiny fierce grin showing. Colour story: scorched charcoal and deep rust shot through with blazing orange, yellow sparks and drifting grey soot. Setting: a blackened grassland at night where small fires smoulder between wildflowers. cartoonish digital illustration, dramatic rim lighting, rich saturated color with accents",1,,65,18,,,"It outran a grass fire and carried a spark of it away in its heels. Now every leap leaves a line of tiny flames in the grass, and its ears trail ribbons of smoke that unravel behind it. It is not cruel, only fast, and it thinks the whole burning world is a game worth winning.",fire,,,
dog-of-dark,card,Shadefang Hound,"A lean, low-slung hound whose back arches into a jagged ridge of bristling fur, its silhouette all sharp shoulders and a tail that tapers to a smoky wisp. Its hide looks like matte charcoal velvet dusted with ash, ribs faintly showing, and where its eyes and maw open there is only curling black smoke with two dim ember-red pinpricks. It slinks forward with head lowered and teeth bared in a silent snarl, wary and predatory. The palette is deep charcoal, soot grey, and bruised violet with a single dull red glow. It prowls a moonless alley of drifting shadow. cartoonish digital illustration, dramatic rim lighting, rich saturated color with accents.",1,,65,90,,,"It belonged to a gatekeeper who stepped into the dark and never stepped back out. The hound kept the post anyway, ribs showing through charcoal fur, eyes two red pinpricks in a cloud of smoke. It snarls at anything that tries to pass, and quietly lets through whoever the old gatekeeper would have.",dark,,,
deer-of-electric,card,Voltstag,"A slender stag crowned with antlers that split into branching lightning rods, each tine crackling with blue-white arc-light, its hide a sleek storm-grey coat streaked with glowing circuit-like veins of charge. Its fur is short and metallic, faintly humming, the antler tips capped in copper nodes that spark and shed tiny forked filaments, while static lifts the fur along its spine into a soft electric bristle. It stands mid-step, one foreleg raised and poised, head tilted with alert, startled curiosity, eyes wide and luminous. The colour story is electric cobalt and silver-white against dusky indigo, with hot violet accents where arcs jump. It pauses in a rain-slick meadow just before a thunderhead, droplets suspended around its antlers. cartoonish digital illustration, dramatic rim lighting, rich saturated color with accents",1,,14,60,,,"It grazes the rain-slick meadow just before a storm, antlers raised like rods waiting for the strike. Charge runs in circuit-veins beneath its metallic coat, and droplets hang frozen around it in defiance of gravity. It is more curious than dangerous, but it has never learned not to touch things.",electric,,,
firefly-of-fire,card,Cinderlantern Firefly,"A stout, round firefly with a lantern abdomen blazing like a coal-filled furnace, its whole shell charred black and veined with glowing ember cracks, wings translucent amber singed at the tips and shedding soot and sparks as it flies. Its body is soot-soft and velvet, the carapace flaking like burnt wood, tiny legs tipped in red-hot filament, and the lantern pulses with layered orange, gold, and deep crimson heat that spills smoke. It hovers eagerly, wings spread wide, expression bright and mischievous with wide delighted eyes. The palette burns in molten orange, scorched black, and cherry red against a smoky taupe haze. It dances above a summer field at dusk, drifting ash motes rising around it. cartoonish digital illustration, dramatic rim lighting, rich saturated color with accents",1,,2,75,,,"It was a lantern that flew into a furnace and decided it preferred the air. Its abdomen holds a coal-filled furnace's worth of heat, and its charred shell cracks with veins of ember. It dances over summer fields at dusk, trailing ash and delight, guiding lost travelers just far enough to lose them again.",fire,,,
horse-of-ice,card,Glaciermane Steed,"A proud horse of living ice, its silhouette lean and sculptural with a long flowing mane that fans into jagged crystal shards and a tail like a frozen waterfall. Its body is faceted translucent blue-white ice, hairline fractures catching prismatic light, hooves clear as glacier glass, breath curling into frost plumes. It stands rearing slightly, head arched high, ears tipped forward, eyes calm and knowing, an icy exhalation drifting from flared nostrils. Palette of pale glacier blue, deep frost navy, and prismatic rainbow glints over snow white. It stands atop a frozen lake at dusk, a low winter sun breaking through ice fog. cartoonish digital illustration, dramatic rim lighting, rich saturated color with accents",1,,44,2,,,"Its mane shatters into crystal shards and grows back overnight; its hooves are clear as glacier glass. It was carved by a winter that outlived its own season, and it has been running ever since to keep warm. On a frozen lake at dusk, its breath hangs in the air longer than the cold should allow.",ice,,,
owl-of-dark,card,Gravewing Owl,"A hooded owl of shadow, its silhouette broad and cloaked with ragged wing-feathers that fray into drifting smoke. Its plumage is soft charcoal and ink-black, smoking at the edges, with faint purple underglow seeping from between the vanes, and talons of polished obsidian. It perches hunched and watchful, one wing half-spread, head turned back over its shoulder, huge luminous violet eyes narrowing in a silent predator's stare. Palette of deep shadow black, bruised violet, and pale moon-grey accents. It sits on a dead twisted branch above a misted graveyard in low fog. cartoonish digital illustration, dramatic rim lighting, rich saturated color with accents",1,,27,34,,,"It nests in the dead branch above the graveyard and keeps a ledger of everyone who passes beneath it. Its feathers fray into drifting smoke, and its violet eyes are the last thing many small creatures see. It is not malicious; it is simply thorough, and it never forgets a face.",dark,,,
horse-of-fire,card,Pyremane Steed,"A mighty horse of living flame, silhouette powerful and wild with a mane and tail of roaring fire that streams upward like banners, hooves trailing sparks. Its hide is cracked blackened soot over molten seams, embers glowing between plates, breath venting smoke and cinders. It rears mid-gallop, forelegs raised, nostrils flared, eyes blazing, expression defiant and untamed. Palette of deep ember orange, searing yellow-white, and charred black with soot accents. Setting is a scorched volcanic plain at night, ash drifting through the hot updrafts. cartoonish digital illustration, dramatic rim lighting, rich saturated color with accents",1,,88,56,,,"Its mane and tail are banners of open flame, and its hide a crust of cooled lava over a molten heart. It was the last horse to leave a burning plain and the only one that came back for the rest. When it rears, the night sky turns the color of the ground it left behind.",fire,,,
dog-of-water,card,Tidefetch Hound,"A loyal dog of water, silhouette sleek and athletic with a curling tail and a back fin-like crest of foam, ears flowing like ribbons of current. Its body is semi-translucent liquid blue, fur rendered as streaming currents and droplets, paws leaving ripples, with a foaming collar around the neck. It bounds forward joyfully, front paws lifted, mouth open in a happy panting grin, tongue splashing into droplets, eyes bright and eager. Palette of deep ocean blue, turquoise, and crisp white foam accents. Setting is a sunlit rocky shore where waves crash and spray hangs in rainbow mist. cartoonish digital illustration, dramatic rim lighting, rich saturated color with accents",1,,28,10,,,"It is less a dog than a wave that learned loyalty. Its coat runs in currents, its collar is foam, and its paws leave ripples on dry stone. It will fetch anything thrown into the sea, sometimes even things that were never thrown, that the ocean had been keeping for years.",water,,,
cat-of-earth,card,Stonewhisker Cat,"A mighty feline with a robust, statuesque silhouette, its body covered in plates of stone and soil, with moss growing in the crevices. Its fur is a mix of textured rock and rich loam, and its eyes are polished amber gems. It stands tall and proud, tail raised, one paw resting on a boulder, expression calm and commanding. The palette is earthy: deep browns, ochres, and mossy greens, with veins of gold and copper. The setting is an ancient forest clearing with towering trees and a carpet of fallen leaves. cartoonish digital illustration, dramatic rim lighting, rich saturated color with accents",1,,82,4,,,"Its body is mortared from boulder and loam, and moss grows where the plates meet. It has sat on the same hillside for longer than the village below has existed, and it regards the passing centuries as mildly interesting. When it finally stretches, whole fields shift.",earth,,,
